,LocalObservationDateTime,EpochTime,WeatherText,WeatherIcon,HasPrecipitation,PrecipitationType,IsDayTime,Temperature,city
1,2022-08-04T11:00:00+10:00,1659574800, ClOuDy ,7,False,,True,"{'Metric': {'Value': 20.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 68.0, 'Unit': 'F', 'UnitType': 18}}", sYDNey 
2,2022-08-04T10:00:00+10:00,1659571200, cLoudy ,7,False,,True,"{'Metric': {'Value': 19.6, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 67.0, 'Unit': 'F', 'UnitType': 18}}", sYdNEY 
3,2022-08-04T09:00:00+10:00,1659567600, mOsTLY clOudY ,6,False,,True,"{'Metric': {'Value': 19.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 66.0, 'Unit': 'F', 'UnitType': 18}}", sYdNEY 
4,2022-08-04T08:00:00+10:00,1659564000, clouDY ,7,False,,True,"{'Metric': {'Value': 18.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 66.0, 'Unit': 'F', 'UnitType': 18}}", sydnEY 
5,2022-08-04T07:00:00+10:00,1659560400, cLoUDY ,7,False,,True,"{'Metric': {'Value': 18.6, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 65.0, 'Unit': 'F', 'UnitType': 18}}", sYDNey 
6,2022-08-04T06:00:00+10:00,1659556800, cLoUDY ,7,False,,False,"{'Metric': {'Value': 18.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 65.0, 'Unit': 'F', 'UnitType': 18}}", SydneY 
7,2022-08-04T05:00:00+10:00,1659553200, CLoUdY ,7,False,,False,"{'Metric': {'Value': 18.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 64.0, 'Unit': 'F', 'UnitType': 18}}", sydNeY 
8,2022-08-04T04:00:00+10:00,1659549600, some CLOudS ,36,False,,False,"{'Metric': {'Value': 17.5, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 64.0, 'Unit': 'F', 'UnitType': 18}}", SyDNEy 
9,2022-08-04T03:00:00+10:00,1659546000, PArtLy CLOUdy ,35,False,,False,"{'Metric': {'Value': 17.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 63.0, 'Unit': 'F', 'UnitType': 18}}", syDnEy 
10,2022-08-04T02:00:00+10:00,1659542400, ClEaR ,33,False,,False,"{'Metric': {'Value': 16.5, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 62.0, 'Unit': 'F', 'UnitType': 18}}", sYDneY 
11,2022-08-04T01:00:00+10:00,1659538800, CLEAR ,33,False,,False,"{'Metric': {'Value': 16.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 62.0, 'Unit': 'F', 'UnitType': 18}}", sYdneY 
12,2022-08-04T00:00:00+10:00,1659535200, Clear ,33,False,,False,"{'Metric': {'Value': 17.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 63.0, 'Unit': 'F', 'UnitType': 18}}", SyDnEY 
13,2022-08-03T23:00:00+10:00,1659531600, ClEaR ,33,False,,False,"{'Metric': {'Value': 17.3, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 63.0, 'Unit': 'F', 'UnitType': 18}}", SYDnEy 
14,2022-08-03T22:00:00+10:00,1659528000, cLeaR ,33,False,,False,"{'Metric': {'Value': 17.7, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 64.0, 'Unit': 'F', 'UnitType': 18}}", sYdNEY 
15,2022-08-03T21:00:00+10:00,1659524400, CLEAR ,33,False,,False,"{'Metric': {'Value': 18.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 64.0, 'Unit': 'F', 'UnitType': 18}}", sYDneY 
16,2022-08-03T20:00:00+10:00,1659520800, clEaR ,33,False,,False,"{'Metric': {'Value': 22.3, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 72.0, 'Unit': 'F', 'UnitType': 18}}", SYdNeY 
17,2022-08-03T19:00:00+10:00,1659517200, cleaR ,33,False,,False,"{'Metric': {'Value': 22.7, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 73.0, 'Unit': 'F', 'UnitType': 18}}", sydNey 
18,2022-08-03T18:00:00+10:00,1659513600, clEar ,33,False,,False,"{'Metric': {'Value': 22.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 73.0, 'Unit': 'F', 'UnitType': 18}}", SyDnEY 
19,2022-08-03T17:00:00+10:00,1659510000, sUNny ,1,False,,True,"{'Metric': {'Value': 24.9, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 77.0, 'Unit': 'F', 'UnitType': 18}}", sYdNEy 
20,2022-08-03T16:00:00+10:00,1659506400, sUNny ,1,False,,True,"{'Metric': {'Value': 21.7, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 71.0, 'Unit': 'F', 'UnitType': 18}}", SyDnEy 
21,2022-08-03T15:00:00+10:00,1659502800, sunnY ,1,False,,True,"{'Metric': {'Value': 22.9, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 73.0, 'Unit': 'F', 'UnitType': 18}}", SydNeY 
22,2022-08-03T14:00:00+10:00,1659499200, SUNNY ,1,False,,True,"{'Metric': {'Value': 21.7, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 71.0, 'Unit': 'F', 'UnitType': 18}}", SydnEy 
23,2022-08-03T13:00:00+10:00,1659495600, pARtLY suNNY ,3,False,,True,"{'Metric': {'Value': 21.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 70.0, 'Unit': 'F', 'UnitType': 18}}", sYDnEy 
